Epoch;MSE;ERROR;Alpha: 0,95;Lambda: 1e-06
87.100;0,00153319;0
87.200;0,00153157;0
87.300;0,00153009;0
87.400;0,00152848;0
87.500;0,001527;0
87.600;0,00152541;0
87.700;0,00152394;0
87.800;0,00152235;0
87.900;0,00152089;0
88.000;0,0015193;0
88.100;0,00151785;0
88.200;0,00151628;0
88.300;0,00151483;0
88.400;0,00151326;0
88.500;0,00151182;0
88.600;0,00151027;0
88.700;0,00150883;0
88.800;0,00150728;0
88.900;0,00150586;0
89.000;0,00150432;0
89.100;0,0015029;0
89.200;0,00150136;0
89.300;0,00149995;0
89.400;0,00149843;0
89.500;0,00149702;0
89.600;0,0014955;0
89.700;0,00149411;0
89.800;0,0014926;0
89.900;0,0014912;0
90.000;0,0014897;0
90.100;0,00148832;0
90.200;0,00148682;0
90.300;0,00148545;0
90.400;0,00148396;0
90.500;0,00148259;0
90.600;0,00148111;0
90.700;0,00147974;0
90.800;0,00147827;0
90.900;0,00147691;0
91.000;0,00147545;0
91.100;0,0014741;0
91.200;0,00147264;0
91.300;0,0014713;0
91.400;0,00146985;0
91.500;0,00146851;0
91.600;0,00146706;0
91.700;0,00146573;0
91.800;0,0014643;0
91.900;0,00146297;0
92.000;0,00146154;0
92.100;0,00146023;0
92.200;0,0014588;0
92.300;0,00145749;0
92.400;0,00145608;0
92.500;0,00145477;0
92.600;0,00145336;0
92.700;0,00145206;0
92.800;0,00145066;0
92.900;0,00144937;0
93.000;0,00144797;0
93.100;0,00144669;0
93.200;0,0014453;0
93.300;0,00144402;0
93.400;0,00144264;0
93.500;0,00144136;0
93.600;0,00143999;0
93.700;0,00143872;0
93.800;0,00143735;0
93.900;0,00143609;0
94.000;0,00143473;0
94.100;0,00143347;0
94.200;0,00143212;0
94.300;0,00143087;0
94.400;0,00142952;0
94.500;0,00142828;0
94.600;0,00142693;0
94.700;0,0014257;0
94.800;0,00142436;0
94.900;0,00142313;0
95.000;0,0014218;0
95.100;0,00142057;0
95.200;0,00141925;0
95.300;0,00141803;0
95.400;0,00141671;0
95.500;0,00141549;0
95.600;0,00141418;0
95.700;0,00141297;0
95.800;0,00141167;0
95.900;0,00141047;0
96.000;0,00140917;0
96.100;0,00140797;0
96.200;0,00140668;0
96.300;0,00140548;0
96.400;0,0014042;0
96.500;0,00140301;0
96.600;0,00140173;0
96.700;0,00140055;0
96.800;0,00139927;0
96.900;0,0013981;0
97.000;0,00139683;0
97.100;0,00139566;0
97.200;0,0013944;0
97.300;0,00139323;0
97.400;0,00139197;0
97.500;0,00139081;0
97.600;0,00138956;0
97.700;0,00138841;0
